img_path;count
data\train\images\10081.tif;247
data\train\images\10082.tif;277
data\train\images\10083.tif;442
data\train\images\10084.tif;317
data\train\images\10085.tif;146
data\train\images\10086.tif;36
data\train\images\10087.tif;577
data\train\images\10088.tif;480
data\train\images\10089.tif;47
data\train\images\1009.tif;72
data\train\images\10090.tif;504
data\train\images\10091.tif;203
data\train\images\10092.tif;824
data\train\images\10093.tif;499
data\train\images\10094.tif;153
data\train\images\10095.tif;220
data\train\images\10096.tif;525
data\train\images\10097.tif;438
data\train\images\10098.tif;243
data\train\images\10099.tif;339
data\train\images\101.tif;114
data\train\images\1010.tif;347
data\train\images\10100.tif;171
data\train\images\10101.tif;383
data\train\images\10102.tif;210
data\train\images\10103.tif;444
data\train\images\10104.tif;619
data\train\images\10105.tif;419
data\train\images\10106.tif;319
data\train\images\10107.tif;45
data\train\images\10108.tif;455
data\train\images\10109.tif;263
data\train\images\1011.tif;279
data\train\images\10110.tif;289
data\train\images\10111.tif;227
data\train\images\10112.tif;453
data\train\images\10113.tif;306
data\train\images\10114.tif;469
data\train\images\10115.tif;271
data\train\images\10116.tif;432
data\train\images\10117.tif;539
data\train\images\10118.tif;1043
data\train\images\10119.tif;169
data\train\images\1012.tif;272
data\train\images\10120.tif;197
data\train\images\10121.tif;181
data\train\images\10122.tif;501
data\train\images\10123.tif;554
data\train\images\10124.tif;216
data\train\images\10125.tif;219
data\train\images\10126.tif;160
data\train\images\10127.tif;338
data\train\images\10128.tif;201
data\train\images\10129.tif;370
data\train\images\1013.tif;57
data\train\images\10130.tif;517
data\train\images\10131.tif;456
data\train\images\10132.tif;169
data\train\images\10133.tif;376
data\train\images\10134.tif;409
data\train\images\10135.tif;378
data\train\images\10136.tif;340
data\train\images\10137.tif;683
data\train\images\10138.tif;47
data\train\images\10139.tif;172
data\train\images\1014.tif;297
data\train\images\10140.tif;544
data\train\images\10141.tif;123
data\train\images\10142.tif;466
data\train\images\10143.tif;184
data\train\images\10144.tif;226
data\train\images\10145.tif;563
data\train\images\10146.tif;376
data\train\images\10147.tif;43
data\train\images\10148.tif;76
data\train\images\10149.tif;318
data\train\images\1015.tif;88
data\train\images\10150.tif;310
data\train\images\10151.tif;571
data\train\images\10152.tif;192
data\train\images\10153.tif;338
data\train\images\10154.tif;264
data\train\images\10155.tif;241
data\train\images\10156.tif;479
data\train\images\10157.tif;33
data\train\images\10158.tif;463
data\train\images\10159.tif;221
data\train\images\1016.tif;107
data\train\images\10160.tif;265
data\train\images\10161.tif;266
data\train\images\10162.tif;234
data\train\images\10163.tif;68
data\train\images\10164.tif;398
data\train\images\10165.tif;153
data\train\images\10166.tif;443
data\train\images\10167.tif;339
data\train\images\10168.tif;267
data\train\images\10169.tif;405
data\train\images\1017.tif;121
data\train\images\10170.tif;404
data\train\images\10171.tif;118
data\train\images\10172.tif;312
data\train\images\10173.tif;369
data\train\images\10174.tif;255
data\train\images\10175.tif;216
data\train\images\10176.tif;474
data\train\images\10177.tif;377
data\train\images\10178.tif;508
data\train\images\10179.tif;259
data\train\images\1018.tif;93
data\train\images\10180.tif;353
data\train\images\10181.tif;202
data\train\images\10182.tif;209
data\train\images\10183.tif;257
data\train\images\10184.tif;390
data\train\images\10185.tif;343
data\train\images\10186.tif;275
data\train\images\10187.tif;142
data\train\images\10188.tif;255
data\train\images\10189.tif;379
data\train\images\1019.tif;80
data\train\images\10190.tif;465
data\train\images\10191.tif;235
data\train\images\10192.tif;351
data\train\images\10193.tif;164
data\train\images\10194.tif;426
data\train\images\10195.tif;323
data\train\images\10196.tif;309
data\train\images\10197.tif;207
data\train\images\10198.tif;218
data\train\images\10199.tif;289
data\train\images\102.tif;59
data\train\images\1020.tif;51
data\train\images\10200.tif;701
data\train\images\10201.tif;417
data\train\images\10202.tif;478
data\train\images\10203.tif;33
data\train\images\10204.tif;648
data\train\images\10205.tif;275
data\train\images\10206.tif;249
data\train\images\10207.tif;709
data\train\images\10208.tif;268
data\train\images\10209.tif;335
data\train\images\1021.tif;177
data\train\images\10210.tif;499
data\train\images\10211.tif;463
data\train\images\10212.tif;577
data\train\images\10213.tif;483
data\train\images\10214.tif;277
data\train\images\10215.tif;444
data\train\images\10216.tif;259
data\train\images\10217.tif;396
data\train\images\10218.tif;415
data\train\images\10219.tif;305
data\train\images\1022.tif;144
data\train\images\10220.tif;307
data\train\images\10221.tif;385
data\train\images\10222.tif;643
data\train\images\10223.tif;208
data\train\images\10224.tif;303
data\train\images\10225.tif;172
data\train\images\10226.tif;176
data\train\images\10227.tif;313
data\train\images\10228.tif;498
data\train\images\10229.tif;224
data\train\images\1023.tif;125
data\train\images\10230.tif;364
data\train\images\10231.tif;380
data\train\images\10232.tif;246
data\train\images\10233.tif;223
data\train\images\10234.tif;328
data\train\images\10235.tif;566
data\train\images\10236.tif;565
data\train\images\10237.tif;609
data\train\images\10238.tif;236
data\train\images\10239.tif;372
data\train\images\1024.tif;102
data\train\images\10240.tif;470
data\train\images\10241.tif;572
data\train\images\10242.tif;392
data\train\images\10243.tif;528
data\train\images\10244.tif;968
data\train\images\10245.tif;169
data\train\images\10246.tif;199
data\train\images\10247.tif;503
data\train\images\10248.tif;247
data\train\images\10249.tif;236
data\train\images\1025.tif;39
data\train\images\10250.tif;333
data\train\images\10251.tif;442
data\train\images\10252.tif;393
data\train\images\10253.tif;561
data\train\images\10254.tif;581
data\train\images\10255.tif;520
data\train\images\10256.tif;424
data\train\images\10257.tif;229
data\train\images\10258.tif;492
data\train\images\10259.tif;334
data\train\images\1026.tif;70
data\train\images\10260.tif;411
data\train\images\10261.tif;237
data\train\images\10262.tif;162
data\train\images\10263.tif;345
data\train\images\10264.tif;247
data\train\images\10265.tif;428
data\train\images\10266.tif;41
data\train\images\10267.tif;158
data\train\images\10268.tif;259
data\train\images\10269.tif;308
data\train\images\1027.tif;590
data\train\images\10270.tif;296
data\train\images\10271.tif;286
data\train\images\10272.tif;166
data\train\images\10273.tif;105
data\train\images\10274.tif;213
data\train\images\10275.tif;201
data\train\images\10276.tif;41
data\train\images\10277.tif;77
data\train\images\10278.tif;245
data\train\images\10279.tif;59
data\train\images\1028.tif;268
data\train\images\10280.tif;98
data\train\images\10281.tif;307
data\train\images\10282.tif;183
data\train\images\10283.tif;77
data\train\images\10284.tif;244
data\train\images\10285.tif;68
data\train\images\10286.tif;156
data\train\images\10287.tif;93
data\train\images\10288.tif;112
data\train\images\10289.tif;115
data\train\images\1029.tif;572
data\train\images\10290.tif;39
data\train\images\10291.tif;68
data\train\images\10292.tif;115
data\train\images\10293.tif;46
data\train\images\10294.tif;268
data\train\images\10295.tif;76
data\train\images\10296.tif;93
data\train\images\10297.tif;87
data\train\images\10298.tif;321
data\train\images\10299.tif;211
data\train\images\103.tif;37
data\train\images\1030.tif;90
data\train\images\10300.tif;165
data\train\images\10301.tif;56
data\train\images\10302.tif;234
data\train\images\10303.tif;436
data\train\images\10304.tif;204
data\train\images\10305.tif;216
data\train\images\10306.tif;59
data\train\images\10307.tif;354
data\train\images\10308.tif;290
data\train\images\10309.tif;81
data\train\images\1031.tif;491
data\train\images\10310.tif;64
data\train\images\10311.tif;48
data\train\images\10312.tif;132
data\train\images\10313.tif;100
data\train\images\10314.tif;234
data\train\images\10315.tif;224
data\train\images\10316.tif;160
data\train\images\10317.tif;128
data\train\images\10318.tif;292
data\train\images\10319.tif;186
data\train\images\1032.tif;104
data\train\images\10320.tif;72
data\train\images\10321.tif;213
data\train\images\10322.tif;149
data\train\images\10323.tif;53
data\train\images\10324.tif;107
data\train\images\10325.tif;42
data\train\images\10326.tif;327
data\train\images\10327.tif;277
data\train\images\10328.tif;210
data\train\images\10329.tif;84
data\train\images\1033.tif;346
data\train\images\10330.tif;58
data\train\images\10331.tif;198
data\train\images\10332.tif;162
data\train\images\10333.tif;56
data\train\images\10334.tif;94
data\train\images\10335.tif;72
data\train\images\10336.tif;236
data\train\images\10337.tif;269
data\train\images\10338.tif;228
data\train\images\10339.tif;151
data\train\images\1034.tif;139
data\train\images\10340.tif;53
data\train\images\10341.tif;107
data\train\images\10342.tif;57
data\train\images\10343.tif;56
data\train\images\10344.tif;283
data\train\images\10345.tif;203
data\train\images\10346.tif;442
data\train\images\10347.tif;83
data\train\images\10348.tif;97
data\train\images\10349.tif;105
data\train\images\1035.tif;114
data\train\images\10350.tif;140
data\train\images\10351.tif;342
data\train\images\10352.tif;73
data\train\images\10353.tif;344
data\train\images\10354.tif;376
data\train\images\10355.tif;345
data\train\images\10356.tif;118
data\train\images\10357.tif;54
data\train\images\10358.tif;135
data\train\images\10359.tif;287
data\train\images\1036.tif;133
data\train\images\10360.tif;198
data\train\images\10361.tif;219
data\train\images\10362.tif;507
data\train\images\10363.tif;207
data\train\images\10364.tif;124
data\train\images\10365.tif;60
data\train\images\10366.tif;66
data\train\images\10367.tif;238
data\train\images\10368.tif;139
data\train\images\10369.tif;189
data\train\images\1037.tif;77
data\train\images\10370.tif;78
data\train\images\10371.tif;348
data\train\images\10372.tif;162
data\train\images\10373.tif;486
data\train\images\10374.tif;273
data\train\images\10375.tif;143
data\train\images\10376.tif;64
data\train\images\10377.tif;86
data\train\images\10378.tif;211
data\train\images\10379.tif;172
data\train\images\1038.tif;279
data\train\images\10380.tif;150
data\train\images\10381.tif;333
data\train\images\10382.tif;127
data\train\images\10383.tif;49
data\train\images\10384.tif;222
data\train\images\10385.tif;392
data\train\images\10386.tif;93
data\train\images\10387.tif;190
data\train\images\10388.tif;93
data\train\images\10389.tif;255
data\train\images\1039.tif;153
data\train\images\10390.tif;89
data\train\images\10391.tif;102
data\train\images\10392.tif;133
data\train\images\10393.tif;203
data\train\images\10394.tif;178
data\train\images\10395.tif;193
data\train\images\10396.tif;76
data\train\images\10397.tif;139
data\train\images\10398.tif;229
data\train\images\10399.tif;148
data\train\images\104.tif;74
data\train\images\1040.tif;88
data\train\images\10400.tif;403
data\train\images\10401.tif;203
data\train\images\10402.tif;107
data\train\images\10403.tif;132
data\train\images\10404.tif;59
data\train\images\10405.tif;178
data\train\images\10406.tif;179
data\train\images\10407.tif;305
data\train\images\10408.tif;64
data\train\images\10409.tif;88
data\train\images\1041.tif;93
data\train\images\10410.tif;113
data\train\images\10411.tif;59
data\train\images\10412.tif;315
data\train\images\10413.tif;173
data\train\images\10414.tif;180
data\train\images\10415.tif;301
data\train\images\10416.tif;86
data\train\images\10417.tif;257
data\train\images\10418.tif;56
data\train\images\10419.tif;65
data\train\images\1042.tif;339
data\train\images\10420.tif;179
data\train\images\10421.tif;315
data\train\images\10422.tif;68
data\train\images\10423.tif;133
data\train\images\10424.tif;132
data\train\images\10425.tif;99
data\train\images\10426.tif;113
data\train\images\10427.tif;99
data\train\images\10428.tif;44
data\train\images\10429.tif;55
data\train\images\1043.tif;329
data\train\images\10430.tif;93
data\train\images\10431.tif;86
data\train\images\10432.tif;113
data\train\images\10433.tif;266
data\train\images\10434.tif;39
data\train\images\10435.tif;115
data\train\images\10436.tif;335
data\train\images\10437.tif;87
data\train\images\10438.tif;173
data\train\images\10439.tif;54
data\train\images\1044.tif;179
data\train\images\10440.tif;73
data\train\images\10441.tif;86
data\train\images\10442.tif;210
data\train\images\10443.tif;363
data\train\images\10444.tif;71
data\train\images\10445.tif;307
data\train\images\10446.tif;49
data\train\images\10447.tif;118
data\train\images\10448.tif;161
data\train\images\10449.tif;60
data\train\images\1045.tif;79
data\train\images\10450.tif;133
data\train\images\10451.tif;126
data\train\images\10452.tif;130
data\train\images\10453.tif;65
data\train\images\10454.tif;329
data\train\images\10455.tif;113
data\train\images\10456.tif;115
data\train\images\10457.tif;248
data\train\images\10458.tif;194
data\train\images\10459.tif;95
data\train\images\1046.tif;300
data\train\images\10460.tif;188
data\train\images\10461.tif;29
data\train\images\10462.tif;248
data\train\images\10463.tif;303
data\train\images\10464.tif;58
data\train\images\10465.tif;98
data\train\images\10466.tif;85
data\train\images\10467.tif;275
data\train\images\10468.tif;88
data\train\images\10469.tif;72
data\train\images\1047.tif;146
data\train\images\10470.tif;285
data\train\images\10471.tif;242
data\train\images\10472.tif;168
data\train\images\10473.tif;77
data\train\images\10474.tif;97
data\train\images\10475.tif;184
data\train\images\10476.tif;186
data\train\images\10477.tif;67
data\train\images\10478.tif;68
data\train\images\10479.tif;106
data\train\images\1048.tif;338
data\train\images\10480.tif;183
data\train\images\10481.tif;77
data\train\images\10482.tif;185
data\train\images\10483.tif;72
data\train\images\10484.tif;347
data\train\images\10485.tif;279
data\train\images\10486.tif;272
data\train\images\10487.tif;57
data\train\images\10488.tif;297
data\train\images\10489.tif;88
data\train\images\1049.tif;192
data\train\images\10490.tif;107
data\train\images\10491.tif;121
data\train\images\10492.tif;93
data\train\images\10493.tif;80
data\train\images\10494.tif;51
data\train\images\10495.tif;177
data\train\images\10496.tif;144
data\train\images\10497.tif;125
data\train\images\10498.tif;102
data\train\images\10499.tif;39
data\train\images\105.tif;56
data\train\images\1050.tif;145
data\train\images\10500.tif;70
data\train\images\10501.tif;590
data\train\images\10502.tif;268
data\train\images\10503.tif;572
data\train\images\10504.tif;90
data\train\images\10505.tif;491
data\train\images\10506.tif;104
data\train\images\10507.tif;346
data\train\images\10508.tif;139
data\train\images\10509.tif;114
data\train\images\1051.tif;190
data\train\images\10510.tif;133
data\train\images\10511.tif;77
data\train\images\10512.tif;279
data\train\images\10513.tif;153
data\train\images\10514.tif;88
data\train\images\10515.tif;93
data\train\images\10516.tif;339
data\train\images\10517.tif;329
data\train\images\10518.tif;179
data\train\images\10519.tif;79
data\train\images\1052.tif;69
data\train\images\10520.tif;300
data\train\images\10521.tif;146
data\train\images\10522.tif;338
data\train\images\10523.tif;192
data\train\images\10524.tif;145
data\train\images\10525.tif;190
data\train\images\10526.tif;69
data\train\images\10527.tif;515
data\train\images\10528.tif;345
data\train\images\10529.tif;175
data\train\images\1053.tif;515
data\train\images\10530.tif;442
data\train\images\10531.tif;538
data\train\images\10532.tif;754
data\train\images\10533.tif;1418
data\train\images\10534.tif;881
data\train\images\10535.tif;296
data\train\images\10536.tif;131
data\train\images\10537.tif;174
data\train\images\10538.tif;185
data\train\images\10539.tif;455
data\train\images\1054.tif;345
data\train\images\10540.tif;189
data\train\images\10541.tif;174
data\train\images\10542.tif;230
data\train\images\10543.tif;971
data\train\images\10544.tif;77
data\train\images\10545.tif;446
data\train\images\10546.tif;131
data\train\images\10547.tif;252
data\train\images\10548.tif;359
data\train\images\10549.tif;371
data\train\images\1055.tif;175
data\train\images\10550.tif;813
data\train\images\10551.tif;867
data\train\images\10552.tif;317
data\train\images\10553.tif;614
data\train\images\10554.tif;830
data\train\images\10555.tif;172
data\train\images\10556.tif;93
data\train\images\10557.tif;531
data\train\images\10558.tif;498
data\train\images\10559.tif;537
data\train\images\1056.tif;442
data\train\images\10560.tif;583
data\train\images\10561.tif;126
data\train\images\10562.tif;433
data\train\images\10563.tif;914
data\train\images\10564.tif;169
data\train\images\10565.tif;891
data\train\images\10566.tif;823
data\train\images\10567.tif;241
data\train\images\10568.tif;186
data\train\images\10569.tif;196
data\train\images\1057.tif;538
data\train\images\10570.tif;235
data\train\images\10571.tif;550
data\train\images\10572.tif;440
data\train\images\10573.tif;620
data\train\images\10574.tif;402
data\train\images\10575.tif;451
data\train\images\10576.tif;130
data\train\images\10577.tif;150
data\train\images\10578.tif;145
data\train\images\10579.tif;449
data\train\images\1058.tif;754
data\train\images\10580.tif;303
data\train\images\10581.tif;103
data\train\images\10582.tif;444
data\train\images\10583.tif;162
data\train\images\10584.tif;366
data\train\images\10585.tif;164
data\train\images\10586.tif;123
data\train\images\10587.tif;377
data\train\images\10588.tif;126
data\train\images\10589.tif;479
data\train\images\1059.tif;1418
data\train\images\10590.tif;147
data\train\images\10591.tif;163
data\train\images\10592.tif;356
data\train\images\10593.tif;405
data\train\images\10594.tif;976
data\train\images\10595.tif;258
data\train\images\10596.tif;429
data\train\images\10597.tif;406
data\train\images\10598.tif;523
data\train\images\10599.tif;129
data\train\images\106.tif;68
data\train\images\1060.tif;881
data\train\images\10600.tif;207
data\train\images\10601.tif;568
data\train\images\10602.tif;96
data\train\images\10603.tif;662
data\train\images\10604.tif;147
data\train\images\10605.tif;78
data\train\images\10606.tif;200
data\train\images\10607.tif;164
data\train\images\10608.tif;242
data\train\images\10609.tif;317
data\train\images\1061.tif;296
data\train\images\10610.tif;610
data\train\images\10611.tif;559
data\train\images\10612.tif;179
data\train\images\10613.tif;119
data\train\images\10614.tif;285
data\train\images\10615.tif;414
data\train\images\10616.tif;217
data\train\images\10617.tif;252
data\train\images\10618.tif;176
data\train\images\10619.tif;85
data\train\images\1062.tif;131
data\train\images\10620.tif;284
data\train\images\10621.tif;79
data\train\images\10622.tif;111
data\train\images\10623.tif;708
data\train\images\10624.tif;131
data\train\images\10625.tif;160
data\train\images\10626.tif;671
data\train\images\10627.tif;1179
data\train\images\10628.tif;325
data\train\images\10629.tif;813
data\train\images\1063.tif;174
data\train\images\10630.tif;125
data\train\images\10631.tif;692
data\train\images\10632.tif;516
data\train\images\10633.tif;164
data\train\images\10634.tif;121
data\train\images\10635.tif;206
data\train\images\10636.tif;413
data\train\images\10637.tif;204
data\train\images\10638.tif;195
data\train\images\10639.tif;147
data\train\images\1064.tif;185
data\train\images\10640.tif;161
data\train\images\10641.tif;959
data\train\images\10642.tif;1376
data\train\images\10643.tif;93
data\train\images\10644.tif;843
data\train\images\10645.tif;77
data\train\images\10646.tif;149
data\train\images\10647.tif;177
data\train\images\10648.tif;433
data\train\images\10649.tif;491
data\train\images\1065.tif;455
data\train\images\10650.tif;121
data\train\images\10651.tif;503
data\train\images\10652.tif;172
data\train\images\10653.tif;846
data\train\images\10654.tif;426
data\train\images\10655.tif;424
data\train\images\10656.tif;306
data\train\images\10657.tif;64
data\train\images\10658.tif;496
data\train\images\10659.tif;424
data\train\images\1066.tif;189
data\train\images\10660.tif;96
data\train\images\10661.tif;883
data\train\images\10662.tif;488
data\train\images\10663.tif;926
data\train\images\10664.tif;81
data\train\images\10665.tif;787
data\train\images\10666.tif;311
data\train\images\10667.tif;848
data\train\images\10668.tif;200
data\train\images\10669.tif;841
data\train\images\1067.tif;174
data\train\images\10670.tif;533
data\train\images\10671.tif;513
data\train\images\10672.tif;341
data\train\images\10673.tif;155
data\train\images\10674.tif;526
data\train\images\10675.tif;328
data\train\images\10676.tif;755
data\train\images\10677.tif;546
data\train\images\10678.tif;401
data\train\images\10679.tif;82
data\train\images\1068.tif;230
data\train\images\10680.tif;391
data\train\images\10681.tif;85
data\train\images\10682.tif;210
data\train\images\10683.tif;503
data\train\images\10684.tif;249
data\train\images\10685.tif;77
data\train\images\10686.tif;275
data\train\images\10687.tif;978
data\train\images\10688.tif;522
data\train\images\10689.tif;416
data\train\images\1069.tif;971
data\train\images\10690.tif;153
data\train\images\10691.tif;665
data\train\images\10692.tif;138
data\train\images\10693.tif;582
data\train\images\10694.tif;152
data\train\images\10695.tif;259
data\train\images\10696.tif;78
data\train\images\10697.tif;149
data\train\images\10698.tif;176
data\train\images\10699.tif;247
data\train\images\107.tif;71
data\train\images\1070.tif;77
data\train\images\10700.tif;729
data\train\images\10701.tif;196
data\train\images\10702.tif;144
data\train\images\10703.tif;458
data\train\images\10704.tif;117
data\train\images\10705.tif;176
data\train\images\10706.tif;133
data\train\images\10707.tif;335
data\train\images\10708.tif;151
data\train\images\10709.tif;179
data\train\images\1071.tif;446
data\train\images\10710.tif;591
data\train\images\10711.tif;340
data\train\images\10712.tif;747
data\train\images\10713.tif;67
data\train\images\10714.tif;123
data\train\images\10715.tif;853
data\train\images\10716.tif;320
data\train\images\10717.tif;377
data\train\images\10718.tif;127
data\train\images\10719.tif;160
data\train\images\1072.tif;131
data\train\images\10720.tif;489
data\train\images\10721.tif;559
data\train\images\10722.tif;117
data\train\images\10723.tif;96
data\train\images\10724.tif;142
data\train\images\10725.tif;754
data\train\images\10726.tif;258
data\train\images\10727.tif;123
data\train\images\10728.tif;176
data\train\images\10729.tif;831
data\train\images\1073.tif;252
data\train\images\10730.tif;328
data\train\images\10731.tif;565
data\train\images\10732.tif;398
data\train\images\10733.tif;82
data\train\images\10734.tif;539
data\train\images\10735.tif;240
data\train\images\10736.tif;568
data\train\images\10737.tif;157
data\train\images\10738.tif;768
data\train\images\10739.tif;133
data\train\images\1074.tif;359
data\train\images\10740.tif;248
data\train\images\10741.tif;838
data\train\images\10742.tif;267
data\train\images\10743.tif;534
data\train\images\10744.tif;137
data\train\images\10745.tif;1
data\train\images\10746.tif;288
data\train\images\10747.tif;137
data\train\images\10748.tif;133
data\train\images\10749.tif;327
data\train\images\1075.tif;371
data\train\images\10750.tif;253
data\train\images\10751.tif;527
data\train\images\10752.tif;128
data\train\images\10753.tif;591
data\train\images\10754.tif;159
data\train\images\10755.tif;147
data\train\images\10756.tif;191
data\train\images\10757.tif;442
data\train\images\10758.tif;324
data\train\images\10759.tif;338
data\train\images\1076.tif;813
data\train\images\10760.tif;426
data\train\images\10761.tif;381
data\train\images\10762.tif;514
data\train\images\10763.tif;569
data\train\images\10764.tif;287
data\train\images\10765.tif;173
data\train\images\10766.tif;150
data\train\images\10767.tif;140
data\train\images\10768.tif;312
data\train\images\10769.tif;353
data\train\images\1077.tif;867
data\train\images\10770.tif;487
data\train\images\10771.tif;498
data\train\images\10772.tif;87
data\train\images\10773.tif;133
data\train\images\10774.tif;127
data\train\images\10775.tif;562
data\train\images\10776.tif;109
data\train\images\10777.tif;288
data\train\images\10778.tif;190
data\train\images\10779.tif;145
data\train\images\1078.tif;317
data\train\images\10780.tif;125
data\train\images\10781.tif;613
data\train\images\10782.tif;78
data\train\images\10783.tif;478
data\train\images\10784.tif;1
data\train\images\10785.tif;95
data\train\images\10786.tif;168
data\train\images\10787.tif;317
data\train\images\10788.tif;532
data\train\images\10789.tif;200
data\train\images\1079.tif;614
data\train\images\10790.tif;189
data\train\images\10791.tif;372
data\train\images\10792.tif;110
data\train\images\10793.tif;183
data\train\images\10794.tif;171
data\train\images\10795.tif;100
data\train\images\10796.tif;163
data\train\images\10797.tif;486
data\train\images\10798.tif;90
data\train\images\10799.tif;311
data\train\images\108.tif;56
data\train\images\1080.tif;830
data\train\images\10800.tif;342
data\train\images\10801.tif;141
data\train\images\10802.tif;591
data\train\images\10803.tif;109
data\train\images\10804.tif;574
data\train\images\10805.tif;83
data\train\images\10806.tif;210
data\train\images\10807.tif;264
data\train\images\10808.tif;507
data\train\images\10809.tif;84
data\train\images\1081.tif;172
data\train\images\10810.tif;154
data\train\images\10811.tif;255
data\train\images\10812.tif;996
data\train\images\10813.tif;187
data\train\images\10814.tif;217
data\train\images\10815.tif;722
data\train\images\10816.tif;232
data\train\images\10817.tif;104
data\train\images\10818.tif;165
data\train\images\10819.tif;358
data\train\images\1082.tif;93
data\train\images\10820.tif;411
data\train\images\10821.tif;458
data\train\images\10822.tif;304
data\train\images\10823.tif;453
data\train\images\10824.tif;196
data\train\images\10825.tif;195
data\train\images\10826.tif;607
data\train\images\10827.tif;249
data\train\images\10828.tif;140
data\train\images\10829.tif;228
data\train\images\1083.tif;531
data\train\images\10830.tif;611
data\train\images\10831.tif;210
data\train\images\10832.tif;209
data\train\images\10833.tif;132
data\train\images\10834.tif;199
data\train\images\10835.tif;278
data\train\images\10836.tif;300
data\train\images\10837.tif;600
data\train\images\10838.tif;79
data\train\images\10839.tif;183
data\train\images\1084.tif;498
data\train\images\10840.tif;730
data\train\images\10841.tif;133
data\train\images\10842.tif;295
data\train\images\10843.tif;825
data\train\images\10844.tif;89
data\train\images\10845.tif;635
data\train\images\10846.tif;75
data\train\images\10847.tif;536
data\train\images\10848.tif;90
data\train\images\10849.tif;165
data\train\images\1085.tif;537
data\train\images\10850.tif;92
data\train\images\10851.tif;122
data\train\images\10852.tif;358
data\train\images\10853.tif;132
data\train\images\10854.tif;297
data\train\images\10855.tif;250
data\train\images\10856.tif;205
data\train\images\10857.tif;247
data\train\images\10858.tif;136
data\train\images\10859.tif;75
data\train\images\1086.tif;583
data\train\images\10860.tif;134
data\train\images\10861.tif;362
data\train\images\10862.tif;847
data\train\images\10863.tif;712
data\train\images\10864.tif;197
data\train\images\10865.tif;509
data\train\images\10866.tif;618
data\train\images\10867.tif;180
data\train\images\10868.tif;227
data\train\images\10869.tif;648
data\train\images\1087.tif;126
data\train\images\10870.tif;253
data\train\images\10871.tif;258
data\train\images\10872.tif;773
data\train\images\10873.tif;212
data\train\images\10874.tif;142
data\train\images\10875.tif;307
data\train\images\10876.tif;139
data\train\images\10877.tif;738
data\train\images\10878.tif;88
data\train\images\10879.tif;287
data\train\images\1088.tif;433
data\train\images\10880.tif;495
data\train\images\10881.tif;291
data\train\images\10882.tif;199
data\train\images\10883.tif;920
data\train\images\10884.tif;478
data\train\images\10885.tif;311
data\train\images\10886.tif;439
data\train\images\10887.tif;408
data\train\images\10888.tif;475
data\train\images\10889.tif;430
data\train\images\1089.tif;914
data\train\images\10890.tif;246
data\train\images\10891.tif;343
data\train\images\10892.tif;341
data\train\images\10893.tif;534
data\train\images\10894.tif;118
data\train\images\10895.tif;198
data\train\images\10896.tif;637
